                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6017,                0.44695,                0.96911,                0.93769,                0.92905,                0.95736,                0.81248,                0.66208,                0.40843,                0.99456,              0.0001228,              0.0001228,              0.0001228
                     37,                0.59449,                0.43004,                0.97472,                0.96116,                0.92343,                0.96018,                0.81488,                0.64836,                0.40073,                0.98846,             0.00011488,             0.00011488,             0.00011488
                     38,                0.59193,                0.43802,                0.96848,                0.96635,                0.93274,                0.95885,                0.81629,                0.65077,                0.38987,                0.98872,             0.00010696,             0.00010696,             0.00010696
                     39,                 0.5833,                0.42464,                0.96108,                0.96305,                0.93837,                0.95585,                0.81671,                  0.651,                0.41436,                0.98637,              9.904e-05,              9.904e-05,              9.904e-05
                     40,                0.57906,                0.41917,                0.96025,                0.94946,                0.93246,                0.95634,                0.80963,                0.67372,                0.40704,                 1.0031,              9.112e-05,              9.112e-05,              9.112e-05
                     41,                0.48728,                0.28468,                0.90086,                0.96085,                  0.934,                0.95781,                0.80924,                0.65904,                0.40068,                0.99809,               8.32e-05,               8.32e-05,               8.32e-05
                     42,                0.48632,                0.27719,                0.90549,                0.97188,                0.93281,                0.96822,                0.81751,                0.65578,                0.39112,                0.98921,              7.528e-05,              7.528e-05,              7.528e-05
                     43,                0.48022,                0.26225,                0.88992,                0.95931,                0.94073,                0.96454,                0.82443,                0.64071,                0.38155,                0.98079,              6.736e-05,              6.736e-05,              6.736e-05
                     44,                 0.4558,                0.25191,                0.87927,                0.95242,                0.94136,                0.95628,                0.81341,                0.64925,                0.38786,                0.98948,              5.944e-05,              5.944e-05,              5.944e-05
                     45,                0.44854,                0.24431,                0.88361,                0.97322,                0.93198,                0.96008,                0.81861,                0.66023,                0.37936,                0.99462,              5.152e-05,              5.152e-05,              5.152e-05
                     46,                0.44266,                0.24242,                0.87374,                0.96935,                0.94103,                0.96613,                0.82717,                0.64421,                0.36075,                0.99249,               4.36e-05,               4.36e-05,               4.36e-05
                     47,                0.43277,                0.23906,                 0.8652,                0.97228,                0.94374,                0.96308,                 0.8275,                0.64034,                0.36109,                0.98235,              3.568e-05,              3.568e-05,              3.568e-05
                     48,                0.41936,                0.23498,                0.86208,                0.97036,                0.94032,                 0.9649,                0.82297,                0.65521,                0.36144,                0.99309,              2.776e-05,              2.776e-05,              2.776e-05
                     49,                0.42338,                0.23113,                 0.8609,                0.96634,                0.94259,                0.96457,                0.82253,                0.65089,                0.35709,                0.98875,              1.984e-05,              1.984e-05,              1.984e-05
                     50,                   0.41,                0.22483,                 0.8658,                0.97324,                0.93985,                0.96654,                0.82974,                0.64767,                0.35033,                0.98705,              1.192e-05,              1.192e-05,              1.192e-05
